OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
14708,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
152861,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
78827,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
48779,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
81178,Suspicious Person (P),YES,YES,Black,Black,Male,4.0
57439,Suspicious Person (P),YES,NO,White,White,Male,1.0
47804,Traffic Law Enforcement (P),NO,NO,White,Black,Male,4.0
91395,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
40777,Suspicious Vehicle (P),NO,NO,Black,Black,Male,1.0
158824,Suspicious Person (P),NO,NO,White,White,Male,2.0
27655,Suspicious Person (P),YES,NO,Black,Black,Male,3.0
29412,Suspicious Vehicle (P),NO,NO,White,White,Male,5.0
31128,Suspicious Person (P),NO,NO,Latino,Latino,Male,3.0
58257,Suspicious Person (P),NO,NO,White,White,Male,2.0
89554,Suspicious Person (P),YES,NO,Black,Black,Female,1.0
67842,Suspicious Vehicle (P),YES,NO,Black,Black,Male,3.0
28507,Suspicious Vehicle (P),YES,YES,Black,Black,Male,4.0
126949,Suspicious Person (P),NO,NO,White,White,Male,5.0
103508,Traffic Law Enforcement (P),NO,YES,Black,Black,Male,4.0
107801,Suspicious Person (P),NO,NO,Native American,Native American,Male,3.0
97909,Suspicious Vehicle (P),NO,NO,White,White,Male,4.0
35007,Suspicious Person (P),NO,NO,Black,Black,Female,3.0
34899,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,2.0
82764,Suspicious Vehicle (P),NO,NO,Black,Black,Male,3.0
63983,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,2.0
98041,Suspicious Vehicle (P),YES,NO,Black,Black,Male,4.0
534,Suspicious Person (P),YES,NO,Black,Black,Male,3.0
20999,Suspicious Person (P),NO,NO,White,White,Male,3.0
13460,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
119910,Suspicious Person (P),YES,NO,White,White,Male,5.0
152281,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
56017,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
156856,Suspicious Vehicle (P),NO,NO,White,White,Female,2.0
24369,Suspicious Vehicle (P),NO,NO,Black,Black,Female,5.0
78642,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
75694,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,4.0
120820,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
37272,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
131671,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
