OBJECTID,problem,personSearch,vehicleSearch,preRace,race,gender,policePrecinct
14378,Suspicious Person (P),NO,NO,Native American,Native American,Male,1.0
84266,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
94799,Traffic Law Enforcement (P),YES,NO,Other,Black,Female,4.0
80751,Suspicious Vehicle (P),YES,YES,Latino,Latino,Male,2.0
4731,Suspicious Vehicle (P),YES,NO,White,White,Male,4.0
87100,Traffic Law Enforcement (P),NO,NO,White,White,Male,3.0
12209,Attempt Pick-Up (P),NO,NO,Black,Black,Male,4.0
43411,Suspicious Person (P),NO,NO,Black,White,Male,3.0
60410,Suspicious Vehicle (P),YES,NO,Native American,Native American,Male,3.0
11476,Suspicious Person (P),NO,NO,East African,East African,Male,3.0
5013,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
24785,Attempt Pick-Up (P),YES,NO,East African,East African,Male,5.0
105557,Suspicious Person (P),NO,NO,White,White,Female,3.0
142391,Suspicious Vehicle (P),YES,YES,Black,Black,Male,3.0
48414,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
36742,Suspicious Person (P),NO,NO,Latino,Latino,Male,3.0
54885,Suspicious Person (P),NO,NO,White,White,Male,1.0
5558,Suspicious Person (P),YES,NO,White,White,Male,5.0
143662,Suspicious Vehicle (P),NO,NO,White,White,Male,2.0
92125,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
86921,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
80214,Suspicious Vehicle (P),NO,NO,White,White,Male,3.0
154988,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
75476,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
102330,Traffic Law Enforcement (P),NO,YES,Black,Black,Male,4.0
155006,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
110508,Suspicious Person (P),YES,NO,Native American,Native American,Female,3.0
20026,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
22707,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,3.0
27974,Suspicious Person (P),NO,NO,White,White,Male,2.0
81571,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
127434,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
117349,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
131547,Suspicious Person (P),YES,NO,Native American,Native American,Male,3.0
69110,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,3.0
24516,Traffic Law Enforcement (P),YES,YES,Latino,Latino,Male,5.0
11295,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
41061,Curfew Violations (P),YES,NO,Black,Black,Male,1.0
136726,Suspicious Person (P),NO,NO,Latino,Latino,Male,3.0
29677,Suspicious Vehicle (P),YES,YES,White,White,Female,4.0
139596,Traffic Law Enforcement (P),NO,NO,White,White,Male,3.0
43447,Traffic Law Enforcement (P),NO,NO,White,White,Male,3.0
123638,Suspicious Person (P),NO,NO,Black,Black,Male,3.0
54479,Traffic Law Enforcement (P),NO,NO,White,White,Female,3.0
70703,Suspicious Person (P),YES,NO,Black,Black,Male,3.0
22131,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
52348,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
45466,Suspicious Vehicle (P),NO,NO,Black,Black,Male,5.0
3074,Suspicious Vehicle (P),YES,YES,White,White,Male,4.0
20523,Suspicious Person (P),NO,NO,White,White,Male,5.0
118233,Suspicious Person (P),NO,NO,Black,Black,Female,1.0
113981,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
107859,Suspicious Person (P),NO,NO,White,White,Male,3.0
45544,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
29962,Traffic Law Enforcement (P),YES,YES,Black,Black,Male,4.0
115270,Traffic Law Enforcement (P),YES,YES,White,White,Male,2.0
102339,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
283,Suspicious Person (P),NO,NO,White,White,Male,4.0
90602,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
144076,Traffic Law Enforcement (P),NO,NO,White,White,Female,1.0
23254,Traffic Law Enforcement (P),YES,YES,White,White,Male,4.0
160896,Suspicious Person (P),NO,NO,White,White,Gender Non-Conforming,1.0
129391,Curfew Violations (P),NO,NO,Black,Black,Male,1.0
4447,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
25211,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
129329,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
29302,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
133336,Suspicious Vehicle (P),YES,YES,White,White,Male,2.0
44468,Suspicious Person (P),NO,NO,Black,Black,Male,2.0
42018,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
160875,Suspicious Person (P),NO,NO,Latino,White,Male,5.0
12935,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
65519,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
82797,Suspicious Vehicle (P),NO,NO,Black,Black,Female,2.0
7244,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
77527,Traffic Law Enforcement (P),NO,NO,White,White,Male,5.0
76905,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
137105,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,1.0
6618,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
117562,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
1859,Suspicious Person (P),NO,NO,White,White,Male,5.0
29780,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,3.0
80850,Suspicious Vehicle (P),NO,NO,Black,Black,Male,4.0
29633,Suspicious Vehicle (P),NO,NO,White,White,Male,3.0
105334,Attempt Pick-Up (P),NO,NO,White,White,Female,4.0
66672,Traffic Law Enforcement (P),NO,NO,Native American,Native American,Male,3.0
74435,Suspicious Person (P),NO,NO,White,White,Male,1.0
36872,Suspicious Person (P),NO,NO,Latino,Latino,Male,1.0
100244,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
132464,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
91265,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
61565,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
37654,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
71986,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,5.0
116221,Suspicious Person (P),NO,NO,Black,Black,Male,2.0
32995,Suspicious Person (P),NO,NO,White,White,Male,5.0
65551,Suspicious Person (P),YES,NO,White,White,Male,1.0
16940,Traffic Law Enforcement (P),NO,NO,Other,Other,Male,3.0
78290,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
122829,Suspicious Vehicle (P),NO,NO,White,White,Male,2.0
21438,Suspicious Person (P),NO,NO,White,White,Female,1.0
4069,Suspicious Person (P),YES,NO,Black,Black,Male,5.0
53741,Attempt Pick-Up (P),NO,NO,Black,Black,Male,4.0
39608,Suspicious Person (P),NO,NO,White,White,Male,3.0
18987,Suspicious Person (P),YES,NO,Black,Black,Male,1.0
86673,Suspicious Vehicle (P),NO,NO,White,White,Female,5.0
90437,Suspicious Person (P),YES,NO,White,White,Male,5.0
146584,Traffic Law Enforcement (P),NO,NO,Black,Black,Male,4.0
51743,Suspicious Person (P),NO,NO,Black,Black,Male,2.0
50826,Traffic Law Enforcement (P),NO,NO,Asian,Asian,Female,2.0
123588,Attempt Pick-Up (P),NO,NO,Black,Black,Male,5.0
153910,Suspicious Person (P),NO,NO,East African,East African,Male,5.0
22746,Attempt Pick-Up (P),NO,NO,Black,Black,Male,4.0
50796,Suspicious Person (P),NO,NO,Black,Black,Male,2.0
124670,Traffic Law Enforcement (P),NO,NO,White,White,Male,1.0
126961,Attempt Pick-Up (P),YES,NO,Black,Black,Male,4.0
34179,Suspicious Person (P),NO,NO,White,White,Male,1.0
42733,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,2.0
44290,Suspicious Person (P),YES,NO,Black,Black,Male,5.0
103530,Traffic Law Enforcement (P),NO,NO,Black,Black,Female,2.0
98851,Suspicious Person (P),NO,NO,Black,Black,Male,4.0
37577,Suspicious Vehicle (P),YES,YES,White,White,Male,2.0
7395,Attempt Pick-Up (P),YES,NO,Black,Black,Male,3.0
7013,Suspicious Person (P),NO,NO,Black,Black,Male,1.0
75711,Suspicious Person (P),NO,NO,White,White,Male,1.0
136907,Suspicious Person (P),YES,NO,Black,Black,Male,4.0
39202,Suspicious Person (P),NO,NO,Asian,Asian,Female,1.0
31735,Suspicious Person (P),NO,NO,Black,Black,Male,5.0
139706,Suspicious Vehicle (P),NO,NO,White,White,Male,1.0
3485,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
140637,Suspicious Person (P),YES,NO,Native American,Native American,Male,3.0
7824,Suspicious Person (P),YES,NO,Black,Black,Female,1.0
107009,Traffic Law Enforcement (P),YES,YES,Native American,Native American,Male,3.0
134743,Suspicious Person (P),NO,NO,Black,Black,Female,4.0
57403,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
88120,Traffic Law Enforcement (P),NO,NO,White,White,Female,2.0
93726,Traffic Law Enforcement (P),NO,NO,White,White,Female,5.0
70863,Traffic Law Enforcement (P),NO,NO,White,White,Male,2.0
